"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp"
"MCP.22","MCP.2",-2.36197272727273,0.0157468720506794,0.0353787199170769,"C2-Ctrl"
"PD.L22","PD.L2",-0.25333,0.015766603441306,0.0353787199170769,"C2-Ctrl"
"TNFSF142","TNFSF14",-1.38627181818182,0.0200158803692776,0.0438443093803223,"C2-Ctrl"
"ARG12","ARG1",0.2095,0.0286837086644513,0.0613697952820818,"C2-Ctrl"
"CCL232","CCL23",-2.00973454545455,0.0355954043760436,0.0744267546044549,"C2-Ctrl"
"CD2442","CD244",-0.3649,0.0383672627190652,0.0784397371145332,"C2-Ctrl"
"ADA2","ADA",-0.486210000000001,0.0398363548738792,0.0796727097477584,"C2-Ctrl"
"IL122","IL12",-0.455513636363637,0.046924239106632,0.0890928893816708,"C2-Ctrl"
"CSF.12","CSF.1",-0.999100909090908,0.0469554034718738,0.0890928893816708,"C2-Ctrl"
"IL62","IL6",-2.09771818181818,0.0474516476054551,0.0890928893816708,"C2-Ctrl"
"Gal.92","Gal.9",-0.788851818181819,0.0500170417500388,0.0920313568200714,"C2-Ctrl"
"ANGPT22","ANGPT2",-0.117577272727273,0.0709625770315057,0.126050902097398,"C2-Ctrl"
"LAMP32","LAMP3",-0.173680909090909,0.0712461620550512,0.126050902097398,"C2-Ctrl"
"CAIX2","CAIX",-0.257867272727273,0.0931352766285213,0.1604236134289,"C2-Ctrl"
"TNFRSF12A2","TNFRSF12A",-0.449309090909091,0.0945293720596792,0.1604236134289,"C2-Ctrl"
"CXCL15","CXCL1",-1.36248272727273,0.0959054210716252,0.1604236134289,"C2-Ctrl"
"CX3CL12","CX3CL1",0.14155,0.104936752679734,0.172396093688135,"C2-Ctrl"
"CRTAM2","CRTAM",-0.193159090909091,0.130974011151218,0.211396649577404,"C2-Ctrl"
"CD282","CD28",-0.229979090909091,0.135040746412754,0.214202563275403,"C2-Ctrl"
"MCP.42","MCP.4",-1.48207636363636,0.138047865712835,0.215261078738658,"C2-Ctrl"
"KIR3DL12","KIR3DL1",0.215444545454545,0.157461722654314,0.241441308069948,"C2-Ctrl"
"TIE22","TIE2",-0.110873636363636,0.176611558125523,0.266364972910624,"C2-Ctrl"
"MIC.A.B2","MIC.A.B",-0.320716363636364,0.193105903317129,0.286544243631869,"C2-Ctrl"
"VEGFA2","VEGFA",-0.193735454545454,0.198349764613136,0.28965362451442,"C2-Ctrl"
"MCP.32","MCP.3",-1.35812181818182,0.246544554324765,0.35440779684185,"C2-Ctrl"
"MCP.12","MCP.1",-0.734546363636367,0.313331844957478,0.440843667065989,"C2-Ctrl"
"NOS32","NOS3",-0.192717272727273,0.316618138554359,0.440843667065989,"C2-Ctrl"
"TNFRSF212","TNFRSF21",-0.220685454545455,0.321049192319796,0.440843667065989,"C2-Ctrl"
"DCN2","DCN",0.0741599999999998,0.3695954764574,0.500040938736482,"C2-Ctrl"
"IL182","IL18",-0.0978754545454548,0.41870086508714,0.558267820116186,"C2-Ctrl"
"PTN2","PTN",-0.0842936363636364,0.438478603658666,0.570765973592992,"C2-Ctrl"
"TWEAK2","TWEAK",-0.183123636363636,0.44336283966005,0.570765973592992,"C2-Ctrl"
"IL22","IL2",0.124825454545455,0.446686414116255,0.570765973592992,"C2-Ctrl"
"IL52","IL5",-0.11022,0.489108869871798,0.613557064698023,"C2-Ctrl"
"GZMH2","GZMH",0.432281818181818,0.496565374408938,0.613557064698023,"C2-Ctrl"
"HGF2","HGF",-0.242074545454545,0.5031332653701,0.613557064698023,"C2-Ctrl"
"IL72","IL7",-0.0578127272727269,0.506851488228802,0.613557064698023,"C2-Ctrl"
"CXCL122","CXCL12",-0.0563936363636366,0.521608381352814,0.62066209816843,"C2-Ctrl"
"CXCL52","CXCL5",-0.473514545454547,0.526213518012364,0.62066209816843,"C2-Ctrl"
"CD8A2","CD8A",-0.27118,0.553589529026834,0.644382454527973,"C2-Ctrl"
"IL42","IL4",-0.0913636363636362,0.560332569154759,0.644382454527973,"C2-Ctrl"
"IL.1.alpha2","IL.1.alpha",-0.117749090909091,0.59371453638343,0.674342436386118,"C2-Ctrl"
"HO.12","HO.1",-0.190041818181818,0.608910815034742,0.683168231502393,"C2-Ctrl"
"VEGFR.22","VEGFR.2",0.0382709090909081,0.662203829971444,0.726530893310877,"C2-Ctrl"
"ICOSLG2","ICOSLG",-0.0472718181818186,0.663354293892539,0.726530893310877,"C2-Ctrl"
"ADGRG12","ADGRG1",-0.0342054545454548,0.766578045669329,0.829708002371509,"C2-Ctrl"
"TRAIL2","TRAIL",0.0160481818181823,0.8670496610067,0.927541497821121,"C2-Ctrl"
"IL332","IL33",0.01457,0.916955080102853,0.969653647924856,"C2-Ctrl"
"NCR12","NCR1",0.00892545454545468,0.941612968328928,0.982109796137821,"C2-Ctrl"
"GZMA2","GZMA",-0.0320063636363637,0.958542237842199,0.982109796137821,"C2-Ctrl"
"FGF22","FGF2",0.00380818181818182,0.960759583178303,0.982109796137821,"C2-Ctrl"
"MUC.162","MUC.16",0.00527363636363631,0.974774900088105,0.985486712176985,"C2-Ctrl"
"PGF2","PGF",0.000279090909091728,0.99761240250366,0.99761240250366,"C2-Ctrl"
