"","Gene_name","LFC_HA_AA","FDR_HA_AA"
"AIRE","AIRE",NA,NA
"AIRN","AIRN",NA,NA
"AJAP1","AJAP1",-0.573668571964777,0.0378792691282687
"AJM1","AJM1",NA,NA
"AJUBA","AJUBA",NA,NA
"AJUBA-DT","AJUBA-DT",NA,NA
"AK1","AK1",NA,NA
"AK2","AK2",NA,NA
"AK2P1","AK2P1",NA,NA
"AK3","AK3",NA,NA
"AK3P3","AK3P3",NA,NA
"AK3P4","AK3P4",NA,NA
"AK4","AK4",NA,NA
"AK4P5","AK4P5",NA,NA
"AK5","AK5",NA,NA
"AK6","AK6",NA,NA
"AK6P1","AK6P1",NA,NA
"AK6P2","AK6P2",NA,NA
"AK7","AK7",NA,NA
"AK8","AK8",NA,NA
"AK9","AK9",NA,NA
"AKAIN1","AKAIN1",NA,NA
"AKAP1","AKAP1",NA,NA
"AKAP10","AKAP10",NA,NA
"AKAP11","AKAP11",NA,NA
"AKAP12","AKAP12",NA,NA
"AKAP13","AKAP13",NA,NA
"AKAP14","AKAP14",NA,NA
"AKAP17A","AKAP17A",NA,NA
"AKAP3","AKAP3",NA,NA
"AKAP4","AKAP4",NA,NA
"AKAP5","AKAP5",NA,NA
"AKAP6","AKAP6",NA,NA
"AKAP7","AKAP7",NA,NA
"AKAP8","AKAP8",NA,NA
"AKAP8L","AKAP8L",NA,NA
"AKAP8P1","AKAP8P1",NA,NA
"AKAP9","AKAP9",NA,NA
"AKIP1","AKIP1",NA,NA
"AKIRIN1","AKIRIN1",NA,NA
"AKIRIN1P1","AKIRIN1P1",NA,NA
"AKIRIN2","AKIRIN2",NA,NA
"AKNA","AKNA",NA,NA
"AKNAD1","AKNAD1",NA,NA
"AKR1A1","AKR1A1",NA,NA
"AKR1B1","AKR1B1",NA,NA
"AKR1B10","AKR1B10",NA,NA
"AKR1B10P2","AKR1B10P2",NA,NA
"AKR1B15","AKR1B15",NA,NA
"AKR1B1P1","AKR1B1P1",NA,NA
"AKR1C1","AKR1C1",NA,NA
"AKR1C2","AKR1C2",NA,NA
"AKR1C3","AKR1C3",NA,NA
"AKR1C4","AKR1C4",NA,NA
"AKR1C7P","AKR1C7P",NA,NA
"AKR1C8P","AKR1C8P",NA,NA
"AKR1D1","AKR1D1",NA,NA
"AKR1E2","AKR1E2",NA,NA
"AKR7A2","AKR7A2",NA,NA
"AKR7A3","AKR7A3",NA,NA
"AKR7L","AKR7L",NA,NA
"AKT1","AKT1",NA,NA
"AKT1S1","AKT1S1",NA,NA
"AKT2","AKT2",NA,NA
"AKT3","AKT3",NA,NA
"AKTIP","AKTIP",NA,NA
"ALAD","ALAD",NA,NA
"ALAS1","ALAS1",NA,NA
"ALAS2","ALAS2",NA,NA
"ALB","ALB",NA,NA
"ALCAM","ALCAM",NA,NA
"ALDH16A1","ALDH16A1",NA,NA
"ALDH18A1","ALDH18A1",NA,NA
"ALDH1A1","ALDH1A1",NA,NA
"ALDH1A2","ALDH1A2",NA,NA
"ALDH1A3","ALDH1A3",NA,NA
"ALDH1A3-AS1","ALDH1A3-AS1",NA,NA
"ALDH1B1","ALDH1B1",NA,NA
"ALDH1L1","ALDH1L1",NA,NA
"ALDH1L1-AS1","ALDH1L1-AS1",NA,NA
"ALDH1L1-AS2","ALDH1L1-AS2",NA,NA
"ALDH1L2","ALDH1L2",NA,NA
"ALDH2","ALDH2",NA,NA
"ALDH3A1","ALDH3A1",NA,NA
"ALDH3A2","ALDH3A2",NA,NA
"ALDH3B1","ALDH3B1",NA,NA
"ALDH3B2","ALDH3B2",NA,NA
"ALDH4A1","ALDH4A1",NA,NA
"ALDH5A1","ALDH5A1",NA,NA
"ALDH6A1","ALDH6A1",NA,NA
"ALDH7A1","ALDH7A1",NA,NA
"ALDH7A1P1","ALDH7A1P1",NA,NA
"ALDH7A1P2","ALDH7A1P2",NA,NA
"ALDH8A1","ALDH8A1",NA,NA
"ALDH9A1","ALDH9A1",NA,NA
"ALDOA","ALDOA",NA,NA
"ALDOB","ALDOB",NA,NA
"ALDOC","ALDOC",NA,NA
