"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1697","RBL21",6.21650989492306e-38,0.277621604195449,0.636,0.529,1.33449817914313e-33,"CD8 T","RBL2"
"1703","OPTN",1.51229293543575e-36,0.299503474453558,0.408,0.288,3.24643924449991e-32,"CD8 T","OPTN"
"1725","EGR1",7.36037030300483e-23,0.557955619677943,0.308,0.228,1.58005069294605e-18,"CD8 T","EGR1"
"1726","JUN",1.99955722341369e-11,0.453876951730368,0.828,0.865,4.29244949150218e-07,"CD8 T","JUN"
"1727","IER21",0.00735021360943328,0.262323856980409,0.852,0.874,1,"CD8 T","IER2"
"1762","P2RX5",0,1.49690310055224,0.678,0.058,0,"B","P2RX5"
"1768","CYB561A3",0,1.40280714875492,0.762,0.149,0,"B","CYB561A3"
"1784","COBLL1",0,1.13755578599021,0.525,0.01,0,"B","COBLL1"
"1814","TSPAN13",0,0.805267736306099,0.316,0.009,0,"B","TSPAN13"
"1818","AIM2",0,0.743372504067611,0.368,0.012,0,"B","AIM2"
"1838","HDAC9",5.38209215931702e-300,0.712697472752606,0.38,0.042,1.15537372384058e-295,"B","HDAC9"
"1859","SYNGR21",1.12390452130873e-228,1.18911160339808,0.918,0.477,2.41268583589344e-224,"B","SYNGR2"
"1862","CDCA7L",5.70509839421022e-224,0.591236673751966,0.319,0.04,1.22471347228511e-219,"B","CDCA7L"
"1878","SMARCB1",5.35612936413634e-179,0.937779627107655,0.661,0.232,1.14980029059915e-174,"B","SMARCB1"
"1879","CTSZ1",1.544071009122e-177,0.707232730065952,0.828,0.288,3.31465723528219e-173,"B","CTSZ"
"1890","SMC6",1.3681455563219e-154,0.630175929298009,0.38,0.083,2.93699806575623e-150,"B","SMC6"
"1906","ADAM19",2.58397444072297e-134,0.549024338539975,0.362,0.083,5.5470179319e-130,"B","ADAM19"
"1916","PARP1",5.5220097323623e-123,0.794506378743628,0.739,0.366,1.18540982924622e-118,"B","PARP1"
"1918","CD811",2.71331737983695e-119,0.750526405919702,0.896,0.569,5.82467841929598e-115,"B","CD81"
"1919","TBC1D91",6.8532541449331e-118,0.446940480553018,0.291,0.061,1.47118806729279e-113,"B","TBC1D9"
"1930","SP110",2.51039883665903e-110,0.794179334159419,0.775,0.431,5.38907318265594e-106,"B","SP110"
"1931","SHMT2",6.60412724616142e-109,0.692458737899868,0.528,0.199,1.41770799593347e-104,"B","SHMT2"
"1939","NT5C",7.50224374528721e-104,0.676792852017342,0.653,0.292,1.6105066648008e-99,"B","NT5C"
"1971","ODC1",8.14698772189509e-82,0.576504872163103,0.693,0.368,1.74891385425922e-77,"B","ODC1"
"1988","TCF3",2.25673442528672e-74,0.453282707130969,0.355,0.12,4.84453179076299e-70,"B","TCF3"
"2026","MCM5",2.14002881128264e-56,0.403914728459371,0.33,0.125,4.59399984918045e-52,"B","MCM5"
"2051","PHTF2",1.83139381377038e-46,0.365226550493983,0.38,0.168,3.93145310002088e-42,"B","PHTF2"
"2058","ZBTB20",4.22095270516537e-45,0.406708210290976,0.435,0.212,9.0611191721785e-41,"B","ZBTB20"
"2059","TIFA",1.3269694225891e-44,0.348175025373938,0.301,0.122,2.84860525947202e-40,"B","TIFA"
"2065","IFI161",1.02139197803984e-43,0.439276184573309,0.589,0.34,2.19262215925812e-39,"B","IFI16"
"2075","SAMD9L",3.63444024634047e-42,0.296239905314169,0.251,0.094,7.80205287681909e-38,"B","SAMD9L"
"2082","ELL2",1.37138594675704e-40,0.265506343612525,0.254,0.096,2.94395421190334e-36,"B","ELL2"
"2086","IRF51",2.38255365896525e-39,0.2569828523037,0.299,0.124,5.11462793970069e-35,"B","IRF5"
"2092","ISCU",3.90193402243321e-38,0.403456134319979,0.802,0.584,8.37628176595737e-34,"B","ISCU"
"2096","RB11",2.20331237796659e-37,0.338797592984617,0.418,0.213,4.72985068178087e-33,"B","RB1"
"2103","RPL22L1",1.44746384503234e-35,0.444335254228208,0.673,0.451,3.10727063613092e-31,"B","RPL22L1"
"2107","INPP5D1",6.73571876131999e-35,0.377281839178254,0.535,0.319,1.44595674649256e-30,"B","INPP5D"
"2108","MAP3K12",1.02187167294185e-34,0.375067220555885,0.547,0.323,2.19365192030427e-30,"B","MAP3K1"
"2124","MIS18BP11",5.34039059163643e-32,0.332922656928306,0.43,0.231,1.14642164830659e-27,"B","MIS18BP1"
"2125","GINM1",9.54669378317149e-32,0.303506534378871,0.339,0.168,2.04938875443342e-27,"B","GINM1"
"2134","FAM214A",2.43284267655955e-30,0.293700367418237,0.282,0.13,5.22258337377039e-26,"B","FAM214A"
"2136","RBM38",5.84895442538981e-30,0.428860183648555,0.624,0.424,1.25559504649843e-25,"B","RBM38"
"2137","SNX5",1.38052890246751e-29,0.33500944417646,0.472,0.275,2.963581394927e-25,"B","SNX5"
"2138","TMEM131",2.31048652673821e-29,0.274470526703485,0.34,0.172,4.95992142694892e-25,"B","TMEM131"
"2139","PPP1CC",2.65938294759786e-29,0.361279717479881,0.653,0.444,5.70889737360832e-25,"B","PPP1CC"
"2145","MORC3",7.97504318454886e-29,0.341564829895166,0.439,0.251,1.7120025204271e-24,"B","MORC3"
"2147","SMCHD1",2.74405357410538e-28,0.334224185650503,0.79,0.604,5.89065980753202e-24,"B","SMCHD1"
