GeneSymbol	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
AADACP1	0.999999507931857	0.999991310435365	1	1	0.999996196608224	1	0.999986641975561	1	0.999991863836838	0.0425406315529425
AADAT	1	1	0.999864097976628	1	0.999880047790743	0.999970228184765	1	1	1	0.150410134008729
AAGAB	1	1	0.902192346431154	0.977219554705568	0.953339369008742	0.838681533188926	1	1	1	0.149041749825475
AAK1	0.981197712082637	0.989916842254445	0.924062464771125	0.941278809641463	0.966027808560675	0.952036438218574	0.995880369496831	0.988333810958313	0.996139098680344	0.154396201057277
AAMDC	1	1	0.951975330195549	0.979679470016002	0.975704613206081	0.865248020915661	1	1	1	0.238363247160747
AAMP	0.987780390919611	0.978144808902558	0.893503001688947	1	0.904958144066064	0.65998347053634	1	1	0.99808990799311	0.0435889937600323
AANAT	0.999956376034419	1	0.999888862577171	1	1	0.999941673326872	1	0.99993330767471	1	0.239886047830256
AAR2	0.997205610220894	1	0.980615531234227	0.996280041554991	0.988141085819678	0.949603743686585	1	1	1	0.23947636847444
AARD	1	1	0.999971755403516	0.999998810966088	1	0.999877493016126	1	0.999990894648201	1	0.0425386214942243
AARS1	0.969258377834795	0.965636813485768	0.876411075084555	0.945919242996573	0.928749783348063	0.82541660974155	1	1	1	0.158153067921166
AARS2	0.993039452238188	0.997595919150335	0.986404572890441	0.99268691429363	0.990868372859451	0.983070653573308	1	0.997995831260701	1	0.0427489886848732
