"","X","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp"
"277","HS1BP3","HS1BP3",0.868437176921622,6.32063481345522e-13,6.66975290964968e-12,"group2-group1"
"278","LGALS8","LGALS8",0.609330347391766,7.2282131114308e-13,7.6000240736375e-12,"group2-group1"
"279","MAVS","MAVS",0.681212614111499,7.97186598248725e-13,8.35188683398216e-12,"group2-group1"
"281","ELAC1","ELAC1",1.22974261145302,8.93268294746312e-13,9.29189759979882e-12,"group2-group1"
"282","GP6","GP6",0.701427544401316,9.28041669083113e-13,9.61938226499978e-12,"group2-group1"
"284","ANXA4","ANXA4",0.744447027524505,1.03431862918451e-12,1.06454695531913e-11,"group2-group1"
"285","COMT","COMT",0.887226781932276,1.04111965225784e-12,1.06778692756128e-11,"group2-group1"
"286","MED18","MED18",0.701168405910985,1.11308044925405e-12,1.13759935425511e-11,"group2-group1"
"287","MAX","MAX",1.39980539755306,1.14633659744037e-12,1.16750587955338e-11,"group2-group1"
"288","CEP20","CEP20",0.873351795086806,1.20887393642618e-12,1.22692309589365e-11,"group2-group1"
"289","GORASP2","GORASP2",0.602005774479044,1.23784618498255e-12,1.25198076079723e-11,"group2-group1"
"291","EHBP1","EHBP1",0.682654291560224,1.36856323762646e-12,1.37467709401448e-11,"group2-group1"
"292","CPXM1","CPXM1",0.566254242016294,1.6505267635364e-12,1.65222251021127e-11,"group2-group1"
"294","MARS1","MARS1",0.686916644389445,1.91195835501067e-12,1.9009028135021e-11,"group2-group1"
"296","CAMSAP1","CAMSAP1",1.16571231478707,2.09492238418096e-12,2.0687358543787e-11,"group2-group1"
"300","EIF2AK2","EIF2AK2",0.894265728361319,2.83868641282635e-12,2.7590184333136e-11,"group2-group1"
"302","CXCL5","CXCL5",1.76801888313838,3.45007981342207e-12,3.33926599160024e-11,"group2-group1"
"304","CD40","CD40",0.407955600427376,3.79674748975343e-12,3.64617514460962e-11,"group2-group1"
"305","CASP8","CASP8",0.701326655325804,3.80459602841578e-12,3.64617514460962e-11,"group2-group1"
"306","HEXIM1","HEXIM1",0.606987977515654,4.05486996213104e-12,3.873328398467e-11,"group2-group1"
"307","FDX2","FDX2",0.931660929840533,4.22005997419135e-12,4.01799195588317e-11,"group2-group1"
"308","EIF1AX","EIF1AX",0.970557700813754,4.3596117878588e-12,4.13738482334782e-11,"group2-group1"
"311","MDH1","MDH1",0.519720993153986,6.78171429703561e-12,6.37393919300163e-11,"group2-group1"
"313","FAM13A","FAM13A",0.73227099649764,8.07068298089523e-12,7.53693493711078e-11,"group2-group1"
"315","CDC42BPB","CDC42BPB",0.515976372503091,9.04274923652312e-12,8.39109714868479e-11,"group2-group1"
"318","LBR","LBR",0.811417657932131,1.03956835401159e-11,9.55552924143356e-11,"group2-group1"
"319","ESYT2","ESYT2",0.685408511439394,1.0524940088474e-11,9.6440125011315e-11,"group2-group1"
"321","BANK1","BANK1",0.906066688533637,1.37234611248705e-11,1.24964725445472e-10,"group2-group1"
"322","DNAJB14","DNAJB14",0.705395927901326,1.3959308881047e-11,1.26717577202796e-10,"group2-group1"
"323","KAZN","KAZN",0.658531452259009,1.41690627396535e-11,1.28223437733768e-10,"group2-group1"
"328","CLPP","CLPP",0.836079023518951,1.78088367042729e-11,1.58704968556676e-10,"group2-group1"
"329","CNP","CNP",0.869329852736831,1.83265078354118e-11,1.62821831011881e-10,"group2-group1"
"330","DNPH1","DNPH1",0.706690055176504,2.41001305313752e-11,2.1346873194912e-10,"group2-group1"
"331","ARHGEF12","ARHGEF12",0.560883458497828,2.44762831322492e-11,2.16145545605935e-10,"group2-group1"
"333","CXCL1","CXCL1",0.846636197334312,2.63306979612089e-11,2.31125015437278e-10,"group2-group1"
"334","MAP2K1","MAP2K1",0.698417900266476,3.09575804783098e-11,2.70925172868562e-10,"group2-group1"
"336","ATP6V1G1","ATP6V1G1",0.832736536680312,4.01639676800368e-11,3.49402611692701e-10,"group2-group1"
"338","DECR1","DECR1",0.784365510498284,6.8200243821357e-11,5.89790865946232e-10,"group2-group1"
"339","DPY30","DPY30",0.806192046100847,9.16935715935849e-11,7.90620382796604e-10,"group2-group1"
"341","ANKMY2","ANKMY2",0.565877838528925,1.04990782348982e-10,8.99964975970889e-10,"group2-group1"
"342","CRYGD","CRYGD",1.05133925795756,1.09939477582206e-10,9.39628926821021e-10,"group2-group1"
"343","FAM172A","FAM172A",0.588703700052763,1.18293949071448e-10,1.00808516949225e-09,"group2-group1"
"345","FKBPL","FKBPL",0.689662837447507,1.29893007218633e-10,1.10051379739149e-09,"group2-group1"
"348","GAPDH","GAPDH",0.917236678508809,1.44153467265458e-10,1.21080627820958e-09,"group2-group1"
"351","LAP3","LAP3",0.992501326890502,1.80432824803943e-10,1.50257876610235e-09,"group2-group1"
"353","ACADSB","ACADSB",0.674986530380074,2.04159864199584e-10,1.69053621262149e-09,"group2-group1"
"354","CACNB3","CACNB3",0.976068609398878,2.11929487070278e-10,1.74991494549837e-09,"group2-group1"
"356","APP","APP",0.390304205572755,2.39572745283787e-10,1.96705374849581e-09,"group2-group1"
"357","DENR","DENR",0.738003766709475,2.48626969386556e-10,2.03567683898292e-09,"group2-group1"
"358","DNAJB1","DNAJB1",1.0557016872201,2.55490517273155e-10,2.08603011728892e-09,"group2-group1"
"360","CCL17","CCL17",1.04004053592207,2.71859750582291e-10,2.20735014153343e-09,"group2-group1"
"362","ARHGEF1","ARHGEF1",1.07302822254048,2.9299363047146e-10,2.36580215985656e-09,"group2-group1"
"365","GATD3","GATD3",0.905767582762793,3.62984061390531e-10,2.90685592176582e-09,"group2-group1"
"366","INPPL1","INPPL1",0.748526465263062,3.86379871176526e-10,3.08576055587155e-09,"group2-group1"
"367","DHRS4L2","DHRS4L2",0.558347781366443,4.10247776678883e-10,3.26745027583753e-09,"group2-group1"
"368","HGS","HGS",1.14280149122584,4.71825435153225e-10,3.74767866019804e-09,"group2-group1"
"370","IMPACT","IMPACT",0.69477397645314,5.22263004726879e-10,4.12587773734235e-09,"group2-group1"
"373","BECN1","BECN1",0.870429563736568,5.56824862330788e-10,4.36353638764851e-09,"group2-group1"
"374","DNAJC9","DNAJC9",0.941961352021455,5.7485395858591e-10,4.49277572445619e-09,"group2-group1"
"375","CNST","CNST",0.340232243622002,5.99737126042893e-10,4.674750985129e-09,"group2-group1"
"376","DCTN1","DCTN1",0.640035805181871,6.10193996611936e-10,4.74360918110822e-09,"group2-group1"
"377","BNIP2","BNIP2",0.44079076925159,6.66364560339003e-10,5.16653477419339e-09,"group2-group1"
"380","ATXN3","ATXN3",0.754859443766366,7.42680712587378e-10,5.71277821813923e-09,"group2-group1"
"382","ASAH1","ASAH1",0.498639471960467,8.82006251418867e-10,6.74896406517631e-09,"group2-group1"
"384","MINDY1","MINDY1",0.837374322554958,1.18822791799053e-09,9.04476615699562e-09,"group2-group1"
"385","CEP170","CEP170",0.627593431002247,1.24172628020912e-09,9.42744394039289e-09,"group2-group1"
"388","AIFM1","AIFM1",1.11231194260131,1.45687666316146e-09,1.09753878516003e-08,"group2-group1"
"391","HTRA2","HTRA2",0.571599321490669,1.50272860978865e-09,1.12339532644814e-08,"group2-group1"
"393","MPHOSPH8","MPHOSPH8",0.679487418777321,1.58966090340096e-09,1.18233557777124e-08,"group2-group1"
"394","LHPP","LHPP",0.714179298307196,1.62428498316441e-09,1.20502157507349e-08,"group2-group1"
"395","BCR","BCR",0.541580020763927,1.68220630058837e-09,1.24483266243539e-08,"group2-group1"
"396","IRAK1","IRAK1",0.4492210330506,1.69342787291904e-09,1.2499721395309e-08,"group2-group1"
"400","EEF1D","EEF1D",0.878649100917728,2.37830051797364e-09,1.73794310350924e-08,"group2-group1"
"404","AKR1B1","AKR1B1",0.924599242849693,2.97753517232569e-09,2.15429091799703e-08,"group2-group1"
"406","COMMD1","COMMD1",0.542477500449152,3.25825047661447e-09,2.34577983821283e-08,"group2-group1"
"407","DNAJB2","DNAJB2",0.669638563485088,3.47808471309391e-09,2.49789720304017e-08,"group2-group1"
"408","GLO1","GLO1",0.657594381983065,3.50727736727265e-09,2.51268915307303e-08,"group2-group1"
"409","IMPA1","IMPA1",0.387592620857401,3.64935583671361e-09,2.6080848681452e-08,"group2-group1"
"411","LDLRAP1","LDLRAP1",0.839015149679963,4.29080653923877e-09,3.05158820296713e-08,"group2-group1"
"412","GP5","GP5",0.475023827958061,4.36412354920387e-09,3.09619736269974e-08,"group2-group1"
"413","GZMH","GZMH",0.926048408945422,4.91816915028931e-09,3.48082528481735e-08,"group2-group1"
"414","IQGAP2","IQGAP2",0.803195406022945,6.14108835835352e-09,4.33454576075652e-08,"group2-group1"
"417","KYNU","KYNU",0.569627716607589,6.7616049963388e-09,4.73960944947202e-08,"group2-group1"
"418","MAPKAPK2","MAPKAPK2",0.690308936696112,7.07699040757714e-09,4.94881410558564e-08,"group2-group1"
"419","AK1","AK1",0.734586500673926,7.73026947773559e-09,5.39273930391912e-08,"group2-group1"
"423","DKK1","DKK1",0.55801685368874,1.0308089844623e-08,7.12306066568159e-08,"group2-group1"
"425","CSNK2A1","CSNK2A1",0.526277441229361,1.32691727993357e-08,9.1260687276372e-08,"group2-group1"
"427","MAPK9","MAPK9",0.372601541095259,1.44102665880667e-08,9.85282320568413e-08,"group2-group1"
"430","F2R","F2R",0.400961890981271,1.68415842252634e-08,1.14483606256849e-07,"group2-group1"
"431","CXCL11","CXCL11",0.808352038679652,1.74640538511307e-08,1.18439511384815e-07,"group2-group1"
"432","HDGF","HDGF",1.10891523425974,2.16784517659586e-08,1.46680820629391e-07,"group2-group1"
"434","CXCL6","CXCL6",0.633633379885221,2.33189835221439e-08,1.57053891325407e-07,"group2-group1"
"436","ASPSCR1","ASPSCR1",0.549685540099234,2.4625923140281e-08,1.65095351695049e-07,"group2-group1"
"437","BID","BID",0.952474485245749,2.55095997799548e-08,1.70628284111688e-07,"group2-group1"
"441","EFCAB2","EFCAB2",0.351549810937029,3.16303706332061e-08,2.09649826215105e-07,"group2-group1"
"443","APEX1","APEX1",0.730148993711419,3.27040402376477e-08,2.15787606353598e-07,"group2-group1"
"445","GIT1","GIT1",0.737830413841061,3.42070473585646e-08,2.24690335795695e-07,"group2-group1"
"446","ACOX1","ACOX1",0.490529231531009,3.45322306081709e-08,2.26317735577766e-07,"group2-group1"
"447","ARSB","ARSB",0.705626114336548,3.52442801504149e-08,2.30467630603272e-07,"group2-group1"
"448","CETN2","CETN2",0.891189613404019,3.58449917634898e-08,2.33872569028305e-07,"group2-group1"
"449","HDGFL2","HDGFL2",0.583771254332896,3.60747159372336e-08,2.3484720419718e-07,"group2-group1"
"450","ACAA1","ACAA1",0.974873389560549,3.80485708367794e-08,2.47146605679791e-07,"group2-group1"
"451","AKT1S1","AKT1S1",0.631098548848054,4.25679215696216e-08,2.75889212301561e-07,"group2-group1"
"452","DNM3","DNM3",0.419807885292063,4.82415226534058e-08,3.11968961760852e-07,"group2-group1"
"455","GLA","GLA",0.349551116743352,5.3745474920226e-08,3.45270380641364e-07,"group2-group1"
"456","CD63","CD63",0.472549582477837,5.45318431731848e-08,3.4955389823513e-07,"group2-group1"
"457","CA2","CA2",0.800860071511542,5.58908706922406e-08,3.57481433333521e-07,"group2-group1"
"459","HNRNPUL1","HNRNPUL1",0.544199382164906,6.14081307081671e-08,3.91058749585996e-07,"group2-group1"
"463","KHK","KHK",0.736355663822442,6.52636809912925e-08,4.12021035718246e-07,"group2-group1"
"465","ATP6V1F","ATP6V1F",0.852392752348366,7.43671186774402e-08,4.67473307299264e-07,"group2-group1"
"467","AHCY","AHCY",0.539895112149429,9.40711480665199e-08,5.88800783294299e-07,"group2-group1"
"468","ITGA6","ITGA6",0.429228246079606,9.77872237081232e-08,6.10752254057359e-07,"group2-group1"
"469","BOLA2_BOLA2B","BOLA2_BOLA2B",0.646980647350728,1.01653476988686e-07,6.33546083662964e-07,"group2-group1"
