"","x"
"922","SSB"
"923","SNX1"
"924","DBT"
"925","DCTN4"
"926","NQO1"
"927","MGST3"
"928","SLAIN2"
"929","H1-3"
"930","ITGAV"
"931","PSMB1"
"932","ACOT7"
"933","STK10"
"934","MYO1F"
"935","NONO"
"936","BRD4"
"937","DDX17"
"938","SHMT1"
"939","EXOC4"
"940","RUVBL1"
"941","C19orf25"
"942","DENND3"
"943","SH3PXD2A"
"944","TMPO"
"945","FAM50A"
"946","PSMD13"
"947","CAD"
"948","MSN"
"949","NAMPT"
