"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp"
"UBE2L6","UBE2L6",0.68585103896104,2.10052986142146e-12,1.90088197676004e-11,"group2-group1"
"FXYD5","FXYD5",0.736684415584416,2.12078981305206e-12,1.91329278504666e-11,"group2-group1"
"PRKAR2A","PRKAR2A",0.83477525974026,2.16088706958073e-12,1.94346858596445e-11,"group2-group1"
"ESYT2","ESYT2",0.669720714285715,2.39317952223052e-12,2.14578642438031e-11,"group2-group1"
"SERPINB1","SERPINB1",0.754800941558441,2.58282090955695e-12,2.30874174881803e-11,"group2-group1"
"DNPH1","DNPH1",0.70093457792208,2.72498254878334e-12,2.42839146039443e-11,"group2-group1"
"INPPL1","INPPL1",0.783993766233766,3.33710659426005e-12,2.96485184651128e-11,"group2-group1"
"KAZN","KAZN",0.638218051948051,3.44607388271119e-12,3.05238604823176e-11,"group2-group1"
"ARHGEF12","ARHGEF12",0.545298506493507,3.54162106825887e-12,3.12754029683404e-11,"group2-group1"
"RBM17","RBM17",0.6185375,3.58188882376411e-12,3.15357259995858e-11,"group2-group1"
"SERPINB6","SERPINB6",0.45794814935065,3.65459295992501e-12,3.20792048704529e-11,"group2-group1"
"CACNB3","CACNB3",0.995515194805195,4.21581634717928e-12,3.67970811696524e-11,"group2-group1"
